UPRN,TOID
100060753530,osgb1000013017694
100060753518,osgb1000013017687
100060753526,osgb1000013017692
100060753524,osgb1000013017691
100062041591,osgb1000013017686
100060753402,osgb1000013017685
100060759755,osgb1000013010231
100060759757,osgb1000013010224
100060759756,osgb5000005192401672
100060759759,osgb1000013010229
100062042323,osgb1000013010238
100062042322,osgb1000013010237
100062042326,osgb1000013010234
100062042329,osgb1000013010234
100062042332,osgb1000013010234
100062042324,osgb1000013010232
100062042327,osgb1000013010232
100062042330,osgb1000013010232
100060759167,osgb1000013017532
100060759163,osgb1000013017531
10090469604,osgb1000013017169
100060759175,osgb1000002315447133
100060759157,osgb1000013017174
100062421672,osgb1000013017176
100060759154,osgb1000013017180
100060752337,osgb1000013017263
100060752332,osgb1000013017258
100060752333,osgb1000013017259
100060752335,osgb1000013017261
100060752327,osgb1000013017253
100060752339,osgb1000013017265
100060752330,osgb1000013017256
100060752331,osgb1000013017257
100060752334,osgb1000013017260
100060752342,osgb1000013017268
100060752340,osgb1000013017266
100060752352,osgb1000013017282
100060752354,osgb1000013017280
100060752353,osgb1000013017281
100060752349,osgb1000013017288
100060752343,osgb1000013017306
100060752348,osgb1000013017289
100060752347,osgb1000013017291
100060752344,osgb1000013017308
10024247567,osgb1000002315313795
10024247568,osgb1000002315313794
10024247569,osgb1000002315313792
10003316692,osgb1000013016987
10003316694,osgb1000013016988
10003316693,osgb1000013016992
100060757045,osgb1000013016976
100060757046,osgb1000013030512
100060757048,osgb1000013030561
100060757049,osgb1000013030560
100060757050,osgb1000013030559
100060757055,osgb1000013030557
100060757059,osgb1000013030555
100060757067,osgb1000013030551
100060757070,osgb1000013030548
100060757080,osgb1000013030538
100060757081,osgb1000013030538
100060757078,osgb1000013030539
10024250365,osgb1000002315554771
10024250364,osgb1000002315554770
100060757089,osgb1000013030635
100060760218,osgb1000013016999
100060760220,osgb1000013030510
100060760221,osgb1000013030509
10013855997,osgb1000002315407528
10023712968,osgb1000002315447131
10023712970,osgb1000002315447131
100060754557,osgb1000013017297
100060754554,osgb1000013017300
100060754555,osgb1000013017299
100060754561,osgb1000013017293
100060754562,osgb1000013017292
100060753867,osgb1000013017023
100060753868,osgb1000013017025
100060753869,osgb1000013017026
100060753870,osgb1000013017028
100060753871,osgb1000013017031
100060753873,osgb1000013017033
100060753918,osgb1000013017039
100060753916,osgb1000013017037
100060753874,osgb1000013017035
100062421618,osgb1000013030571
10003316699,osgb1000013017104
10024246481,osgb1000002315500666
100060752730,osgb1000013017064
100060752729,osgb1000013017062
100060752733,osgb1000013017058
100060752741,osgb1000013017068
100060752744,osgb1000013017069
100060752734,osgb1000013030874
100060752749,osgb1000013030642
100060752735,osgb1000013030582
100060752740,osgb1000013030873
100060752751,osgb1000013030643
100060752737,osgb1000013030580
100060752753,osgb1000013030647
100060752755,osgb1000013030648
100060752738,osgb1000013030579
10003316737,osgb1000013017399
10003316701,osgb1000013017079
10003316703,osgb1000013017078
100060753929,osgb1000013030586
100060753877,osgb1000013030515
100060753878,osgb1000013030516
10024249164,osgb1000013030588
100060753915,osgb1000013030591
100060753910,osgb1000013030595
100060753884,osgb1000013030522
100060753909,osgb1000013030596
100060753885,osgb1000013030523
100060753905,osgb1000013030599
100060753904,osgb1000013030600
100060753891,osgb1000013030529
100060753903,osgb1000013030601
100060753892,osgb1000013030530
100060753902,osgb1000013030602
100060753901,osgb1000013030603
100060753900,osgb1000013030604
100060753899,osgb1000013030605
100060753898,osgb1000013030606
100060753897,osgb1000013030607
100060753896,osgb1000013030608
100060753895,osgb5000005187946538
100060754512,osgb1000013018481
100060754471,osgb1000013018486
100060754472,osgb1000013018493
100060754474,osgb1000013030925
100060754481,osgb1000013030483
10024250723,osgb1000002315322739
10024249182,osgb1000002315322738
100060758109,osgb1000013030935
100060758113,osgb1000013030937
100060758115,osgb1000013030938
100060758121,osgb1000013030941
100060758126,osgb1000013030946
100060758128,osgb1000013030947
100060758106,osgb1000013031389
100060758105,osgb1000013031420
100060758110,osgb1000013031386
100060758116,osgb1000013031382
